Scheme Name,Objective,Key Benefits,Eligibility,Source
Atma Nirbhar Krishi Yojana (ANKY),Promote self-reliance in agriculture by providing financial assistance.,"Financial support for activities like scientific land terracing, double cropping, farm mechanization, and apiculture.","Farmers, Self Help Groups (SHGs), and Farmer Producer Organizations (FPOs) in Arunachal Pradesh.",https://www.myscheme.gov.in/schemes/anky
Atma Nirbhar Plantation Yojana (ANPY),Encourage plantation activities to boost horticulture and forestry.,Financial assistance for plantation of various horticultural and forestry species.,"Individual farmers, SHGs, and FPOs with specified landholding criteria.",https://lohit.nic.in/schemes/
Chief Minister Krishi Rinn Yojana,Provide interest-free crop loans to farmers.,Crop loans at zero interest rates to support agricultural activities.,Farmers in Arunachal Pradesh with valid landholding certificates.,https://namsai.nic.in/schemes/
Mission for Integrated Development of Horticulture (MIDH),Promote holistic growth of the horticulture sector.,"Support for research, technology promotion, extension, post-harvest management, processing, and marketing.",Farmers and entrepreneurs involved in horticulture.,https://roing.nic.in/horticulture/
AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST,Provide financial assistance for the purchase of agricultural equipment to increase crop production.,"Financial assistance for purchasing equipment like power tillers, rice transplanters, and self-propelled machinery.",Farmers other than SC/ST in Gujarat.,https://www.myscheme.gov.in/schemes/agr2fmsfotscst
Mukhya Mantri Mahila Kisan Sashaktikaran Yojana (MMKSY),Empower women farmers by providing financial assistance and training.,Financial support and training programs for women farmers.,Women farmers in Gujarat.,https://www.myscheme.gov.in/schemes/mukhya-mantri-mahila-kisan-sashaktikaran-yojana-mmksy
Mukhyamantri Krishi Aashirwad Yojna,Provide financial assistance to small and marginal farmers.,"₹5,000 per acre per year (up to 5 acres) through Direct Benefit Transfer.",Small and marginal farmers with arable land.,https://www.manage.gov.in/fpoacademy/SGSchemes/Jharkhand.pdf
Jharkhand Krishi Rin Mafi Yojana,Waive off loans for farmers.,"Loan waiver up to ₹50,000 per farmer.",Permanent residents of Jharkhand.,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-jharkhand/jharkhand-krishi-rin-mafi-yojana?lgn=en
Chief Minister Sustainable Agriculture Irrigation Scheme,Enhance water conservation and irrigation facilities.,"Subsidy ranging from ₹14,433 to ₹75,000 for constructing farm ponds, depending on size.",Farmers with at least 0.20 ha land in Konkan region and 0.40 ha in the rest of Maharashtra.,https://www.myscheme.gov.in/schemes/chief-minister-sustainable-agriculture-irrigation-scheme
APL Farmer Scheme,Provide financial assistance to APL (saffron) cardholder farmers in drought-prone areas.,Direct Benefit Transfer (DBT) of ₹150 per beneficiary per month.,"APL (saffron) cardholder farmers in 14 drought-prone districts, including all districts of Aurangabad and Amravati divisions, and Wardha in Nagpur division.",https://mahafood.gov.in/scheme/apl-farmer/
Bhausaheb Fundkar Falbag Lagvad Scheme,Promote the plantation of perennial horticulture crops.,Support for planting 16 specified fruit crops over areas ranging from 0.10 to 10 hectares in Konkan and 0.20 to 6 hectares in other regions.,Farmers in Maharashtra interested in horticulture plantation.,https://www.myscheme.gov.in/schemes/bhausaheb-fundkar-horticulture-plantataion-scheme
Fasal Bima Yojana,Provide crop insurance coverage.,Comprehensive risk cover for crops against natural calamities.,All farmers in Haryana.,https://agriharyana.gov.in/
Crop Diversification Scheme,Encourage farmers to diversify crops to reduce water usage.,Financial assistance for adopting alternative crops.,Farmers in water-scarce regions of Haryana.,https://agriharyana.gov.in/
Rajiv Gandhi Kisan Nyay Yojana,Provide financial assistance to farmers to boost agricultural production.,"Financial benefits transferred in four installments; initially for paddy, maize, and sugarcane; later expanded to other crops.",Farmers cultivating eligible crops.,https://www.myscheme.gov.in/schemes/rgkny
AP Rythu Raksha Scheme,Provide financial assistance to farmers.,"₹10,000 per acre annually.",All farmers in Andhra Pradesh.,https://www.manage.gov.in/fpoacademy/SGSchemes/andhrapradesh.pdf
Rastriya Krishi Vikas Yojana (RKVY),Promote holistic development of agriculture.,"Funding for infrastructure development, technology adoption, and capacity building.",Farmers and agricultural entrepreneurs.,https://www.apagrisnet.gov.in/schemes.php
YSR Jala Kala,Provide free bore wells to farmers for irrigation.,Free drilling of bore wells to enhance irrigation facilities.,Farmers in need of irrigation support.,https://www.myscheme.gov.in/schemes/ysr-jala-kala
Chief Minister Raitha Vidya Nidhi,Provide scholarships to children of farmers to support their education.,Financial assistance for students pursuing higher education.,Children of farmers in Karnataka.,https://raitamitra.karnataka.gov.in/english
Rashtriya Krishi Vikas Yojana (RKVY RAFTAAR),Achieve holistic development of agriculture and allied sectors.,"Funding for agriculture infrastructure, assets, and value addition.",Farmers and agricultural entrepreneurs.,https://raitamitra.karnataka.gov.in/english
Krishi Bhagya,Enhance rainfed agriculture through water conservation.,"Support for farm ponds, polyhouses, and micro-irrigation systems.",Farmers practicing rainfed agriculture.,https://chitradurga.nic.in/en/agriculture/
Mukhya Mantri Krishi Sa Sajuli Yojana (MMKSSY),Provide financial assistance to small and marginal farmers for procuring farm tools and implements.,"One-time grant of ₹5,000 per farmer; aimed to benefit 5 lakh farmers.",Small and marginal farmers in Assam.,https://www.myscheme.gov.in/schemes/mmkssy-assam
Assam Farmer's Credit Subsidy Scheme (AFCSS),Offer partial crop loan waiver to reduce financial burden on farmers.,"Subsidy covering 25% of crop loans, up to a maximum of ₹25,000.","Farmers who have availed crop loans between April 1, 2019, and March 31, 2020.",https://agri-horti.assam.gov.in/schemes
Mukhya Mantri Krishi Sa Sajuli Yojana (MMKSSY),Provide financial assistance to small and marginal farmers for procuring farm tools and implements.,"One-time grant of ₹5,000 per farmer; aimed to benefit 5 lakh farmers.",Small and marginal farmers in Assam.,https://www.myscheme.gov.in/schemes/mmkssy-assam
Assam Farmer's Credit Subsidy Scheme (AFCSS),Offer partial crop loan waiver to reduce financial burden on farmers.,"Subsidy covering 25% of crop loans, up to a maximum of ₹25,000.","Farmers who have availed crop loans between April 1, 2019, and March 31, 2020.",https://agri-horti.assam.gov.in/schemes
CM Kissan Card Scheme,Provide financial assistance to farmers for purchasing agricultural inputs.,"Each card, valid for six months, permits farmers to obtain up to ₹1.5 lakh per season, capped at ₹30,000 per acre.",Landholding farmers in Punjab.,https://punjab.gov.pk/cm-kissan-card-scheme
CM Punjab Livestock Card,Support livestock farmers with financial assistance for purchasing feed and medicines.,"Provides necessary financial resources to farmers, enabling them to provide balanced ration/feed to their livestock.",Livestock farmers in Punjab.,https://www.punjab.gov.pk/cm-punjab-livestock-card
Punjab Farm Tourism Scheme,Promote farm tourism and provide additional income to farmers.,"Offers tourists a clean, hygienic, and comfortable stay in farmhouses, providing cultural experiences and additional income to farmers.",Farmers with suitable farmhouses in Punjab.,https://www.myscheme.gov.in/schemes/pfts
Reinvenation of Cultivated Watercourses in Punjab (Phase I),Improve water use efficiency and irrigation facilities.,Financial assistance for the renovation of watercourses to reduce water wastage.,Farmers in areas with watercourse issues in Punjab.,https://www.agripunjab.gov.pk/newschemes
Krishak Durghatna Kalyan Yojana,Provide financial assistance to farmers in case of accidents.,Compensation for accidental death or disability.,Farmers and their family members in Uttar Pradesh.,https://www.myscheme.gov.in/schemes/kdky
Prime Minister's Agriculture Irrigation Scheme (Per Drop More Crop),Enhance water use efficiency in agriculture.,Financial assistance for micro-irrigation systems.,Farmers in Uttar Pradesh adopting micro-irrigation.,https://upagriculture.com/Default_ENG.aspx
Tamil Nadu Watershed Development Agency (TNWDA),Improve water use efficiency and irrigation facilities.,Financial assistance for the renovation of watercourses and watershed development.,Farmers in areas with watercourse issues in Tamil Nadu.,https://www.tnagrisnet.tn.gov.in/home/schemes/en
PM Kisan Samman Nidhi,Provide financial support to farmers.,"₹6,000 per year in three equal installments.",All farmers in Tamil Nadu.,https://www.tnagrisnet.tn.gov.in/esevai/
Krishak Bandhu (Natun) Scheme,Provide financial assistance and social security to farmers.,"Annual financial assistance of ₹10,000 per acre; one-time death benefit of ₹2 lakh for farmers aged 18-60.",All farmers in West Bengal.,https://krishakbandhu.net/about_kb
Financial Support Scheme for Farm Mechanization (FSSM),Promote mechanization in agriculture.,Subsidy for small and marginal farmers to purchase power-operated farm equipment and machinery.,Small and marginal farmers in West Bengal.,https://www.myscheme.gov.in/schemes/fssm
One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI),Assist farmers in procuring manually operated small farm implements.,Financial assistance for purchasing small farm tools necessary for agricultural operations.,Small and marginal farmers in West Bengal.,https://www.myscheme.gov.in/schemes/ota-sfi
Rashtriya Krishi Vikas Yojana (RKVY),Maximize minor irrigation development by exploring water resources.,Financial support for developing minor irrigation infrastructure to increase cropping intensity.,Farmers in areas lacking adequate irrigation facilities in West Bengal.,https://www.wbwridd.gov.in/rkvy
Krushak Assistance for Livelihood and Income Augmentation (KALIA),"Provide financial assistance to small, marginal farmers, and landless agricultural laborers.","Financial support for cultivation, livelihood support, insurance cover, and interest-free crop loans.","Small and marginal farmers, landless agricultural households, vulnerable agricultural households, and sharecroppers.",https://www.myscheme.gov.in/schemes/kalia
Biju Krushak Kalyan Yojana (BKKY),Provide health insurance coverage to farmers and their families.,Health insurance coverage up to ₹1 lakh per family per annum for secondary care and ₹3 lakh for certain critical ailments.,Farmers holding cultivable land and their families.,https://agri.odisha.gov.in/sites/default/files/2022-10/SCHEMES.pdf
Rythu Bandhu Scheme,Provide investment support to farmers.,"₹5,000 per acre per farmer for each season (Kharif & Rabi) for purchase of inputs like seeds, fertilizers, pesticides, and labor costs.",Farmers in Telangana.,https://rythubharosa.telangana.gov.in/Default_Home.aspx
Rythu Bhima (Rythu Bandhu Group Life Insurance Scheme),Provide financial relief to bereaved family members in case of farmer's death.,"₹5,00,000 insurance coverage for farmers aged 18-59 years.",Farmers in Telangana.,https://rythubharosa.telangana.gov.in/Default_Home.aspx
Subsidy Seed Distribution,Distribute crop seeds on subsidy.,"Subsidized seeds for crops like paddy, jowar, maize, redgram, greengram, blackgram, bengalgram, groundnut, castor, and green manure.",Farmers in Telangana.,https://rythubharosa.telangana.gov.in/Default_Home.aspx
Seed Village Programme,Ensure supply of quality seeds to farmers.,Quick multiplication of new seed varieties in mandals/districts based on crop situation.,Farmers in Telangana.,https://rythubharosa.telangana.gov.in/Default_Home.aspx
PM Kisan Urja Suraksha evam Utthaan Mahabhiyan (PM-KUSUM),Provide financial and water security to farmers.,Subsidy for installation of solar pumps and grid-connected solar power plants.,"Farmers, cooperatives, and farmer producer organizations (FPOs).",https://rfc.rajasthan.gov.in/scheme/detail/924
Krishi Kalyan Kosh,Support farmers in distress due to natural calamities.,Financial assistance for crop loss and rehabilitation.,Farmers affected by natural disasters.,https://agriwelfare.rajasthan.gov.in/content/agriwelfare/en/krishikalyankosh.html
Kisan Pension Yojana,Provide financial assistance to elderly farmers.,Monthly pension to support old age farmers owning up to 2 hectares of land and cultivating their own land.,Elderly farmers owning up to 2 hectares of land and not receiving any other pension.,https://www.myscheme.gov.in/schemes/kpy
Deendayal Upadhyay Cooperative Farmers Welfare Scheme,Provide financial support to cooperative farmers for agricultural development.,Financial assistance for various agricultural activities through cooperatives.,Members of registered cooperative societies involved in agriculture.,https://www.govtschemes.in/uttarakhand-deendayal-upadhyay-cooperative-farmers-welfare-scheme
